age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
1, Self-emp-not-inc,7, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,12, United-States, <=50K
17, Private,9, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,24, United-States, >50K
23, ?,2, 12th,8, Married-civ-spouse, ?, Wife, Black, Female,0,0,19, United-States, >50K
18, Private,12, Assoc-acdm,12, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,30, United-States, >50K
18, Local-gov,5, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,5,0,19, United-States, >50K
20, Federal-gov,0, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,22, United-States, >50K.
16, Private,6, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,22, United-States, <=50K
0, Private,8, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,19, United-States, <=50K.
2, Private,0, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,19,7, United-States, <=50K
4, Private,2, HS-grad,9, Separated, Other-service, Unmarried, White, Female,0,0,12, United-States, <=50K
9, Private,6, 12th,8, Never-married, Sales, Not-in-family, White, Male,2,0,24, United-States, <=50K
26, Self-emp-not-inc,3, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,17, United-States, <=50K
28, Self-emp-not-inc,4, 10th,6, Married-civ-spouse, Craft-repair, Wife, White, Female,0,22,17, ?, >50K
13, Private,11, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,19, United-States, <=50K
9, Self-emp-inc,7, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,24, United-States, >50K.
14, Private,5, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,24, United-States, <=50K
10, Private,3, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, United-States, >50K
30, Self-emp-not-inc,1, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,9, United-States, <=50K.
31, Private,0, Some-college,10, Divorced, Other-service, Not-in-family, White, Female,0,0,19, United-States, <=50K
22, Private,4, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States, >50K
25, ?,4, HS-grad,9, Divorced, ?, Not-in-family, White, Female,2,0,12, United-States, <=50K
10, Self-emp-not-inc,6, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,1,0,19, United-States, <=50K.
17, Private,3, 9th,5, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,7,19, United-States, <=50K
18, Private,4, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,27, United-States, >50K
24, Federal-gov,8, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,22,19, United-States, >50K
0, Private,6, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,7, United-States, <=50K
13, Private,7, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,1, United-States, <=50K
11, State-gov,2, Masters,14, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,11, United-States, <=50K
29, Private,2, Assoc-voc,11, Widowed, Craft-repair, Not-in-family, White, Female,0,0,14, United-States, <=50K
23, Private,3, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,23, United-States, >50K.
26, Private,0, Some-college,10, Widowed, Farming-fishing, Not-in-family, White, Male,0,25,31, United-States, >50K
17, Private,6, 7th-8th,4, Widowed, Other-service, Unmarried, White, Female,0,0,18, Mexico, <=50K.
2, State-gov,0, Some-college,10, Never-married, Prof-specialty, Own-child, White, Female,0,0,9, United-States, <=50K
28, Private,2, HS-grad,9, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,19, China, <=50K
17, Private,4, Assoc-acdm,12, Divorced, Craft-repair, Not-in-family, White, Male,0,0,19, United-States, <=50K
10, Private,5, 5th-6th,3, Never-married, Other-service, Not-in-family, White, Female,0,0,19, Mexico, <=50K.
