DIVISION,ST,AGEP,CIT,MAR,SCHL,WAGP,NATIVITY
9,6,36,1,1,17.0,0,1
3,26,1,1,5,0.0,0,1
9,53,7,1,5,12.0,0,1
5,12,32,4,1,21.0,0,2
8,49,9,1,5,19.0,0,1
8,8,5,1,5,7.0,0,1
2,36,3,1,5,4.0,0,1
5,12,21,1,1,22.0,4,1
4,31,21,1,1,20.0,0,1
2,36,28,1,1,16.0,2,1
2,34,17,1,1,21.0,6,1
5,13,27,1,1,16.0,0,1
9,6,27,5,1,10.0,2,2
3,17,10,1,5,19.0,2,1
1,25,24,1,3,21.0,0,1
4,27,28,1,5,18.0,0,1
9,53,8,1,5,13.0,0,1
4,20,29,1,1,21.0,3,1
5,45,34,1,1,22.0,0,1
7,48,19,1,1,21.0,7,1
3,17,41,1,1,19.0,0,1
1,25,14,1,5,16.0,3,1
6,47,20,1,1,16.0,0,1
9,6,38,1,1,22.0,0,1
4,20,36,1,3,16.0,0,1
2,42,32,1,1,16.0,5,1
9,6,3,1,5,4.0,0,1
3,26,18,1,1,22.0,2,1
3,26,13,1,1,20.0,1,1
7,48,21,1,3,22.0,3,1
7,48,25,1,3,19.0,0,1
8,4,11,1,5,20.0,0,1
2,36,40,1,2,14.0,0,1
2,34,7,1,5,11.0,0,1
0,72,8,1,5,14.0,0,1
3,17,29,1,5,16.0,0,1
4,29,12,5,1,16.0,0,2
5,12,38,1,3,21.0,0,1
5,37,13,1,5,16.0,1,1
2,36,8,1,5,14.0,0,1
7,40,9,1,5,13.0,0,1
1,50,13,1,5,21.0,5,1
7,48,5,1,5,8.0,0,1
8,4,47,1,3,1.0,1,1
2,36,44,1,2,19.0,0,1
5,12,0,1,5,0.0,0,1
5,51,4,1,5,5.0,0,1
9,41,33,1,3,16.0,0,1
1,25,12,1,5,21.0,2,1
3,39,35,1,1,16.0,0,1
1,9,7,1,5,11.0,0,1
2,36,42,1,1,24.0,0,1
3,17,36,1,4,16.0,0,1
1,33,17,1,2,17.0,0,1
8,4,1,1,5,0.0,0,1
5,12,29,1,1,21.0,6,1
2,36,19,5,1,21.0,7,2
5,13,26,1,1,21.0,19,1
5,24,4,1,5,5.0,0,1
6,21,9,1,5,16.0,0,1
5,51,16,1,1,21.0,7,1
7,5,11,1,5,19.0,2,1
6,28,35,1,3,21.0,0,1
5,12,32,1,3,16.0,0,1
5,13,19,1,5,20.0,1,1
7,48,41,1,1,21.0,0,1
0,72,46,1,2,16.0,0,1
9,6,5,1,5,9.0,0,1
3,55,35,1,1,20.0,0,1
7,48,36,1,1,17.0,0,1
5,51,8,1,5,12.0,0,1
8,4,36,1,1,21.0,0,1
2,36,20,1,1,11.0,0,1
3,55,22,1,1,21.0,3,1
4,19,43,1,1,16.0,0,1
7,48,35,1,1,16.0,5,1
1,25,7,1,5,11.0,0,1
1,25,15,1,5,22.0,8,1
5,37,35,1,1,23.0,1,1
9,2,34,1,1,20.0,1,1
1,44,9,5,5,16.0,1,2
2,36,20,1,5,21.0,0,1
7,48,19,1,1,16.0,0,1
9,53,44,1,1,16.0,0,1
7,40,21,1,3,16.0,0,1
1,9,20,5,1,13.0,6,2
7,48,13,5,5,22.0,5,2
9,6,12,1,5,16.0,2,1
9,41,16,1,1,19.0,2,1
5,10,24,1,1,21.0,3,1
5,10,19,1,1,13.0,3,1
1,23,33,1,5,22.0,4,1
9,53,9,4,5,20.0,1,2
3,39,38,1,2,16.0,0,1
7,48,31,1,2,21.0,0,1
9,41,26,5,1,19.0,5,2
2,36,24,1,2,20.0,1,1
5,51,34,1,1,22.0,0,1
5,13,35,1,1,22.0,0,1
8,4,31,1,5,22.0,5,1
7,48,14,5,5,21.0,1,2
8,56,12,1,5,20.0,13,1
3,55,35,1,5,18.0,0,1
5,45,28,1,5,11.0,0,1
2,42,48,1,1,14.0,0,1
1,25,33,1,1,16.0,0,1
9,6,22,1,1,18.0,1,1
1,33,41,1,1,21.0,0,1
9,6,20,1,5,22.0,7,1
1,25,24,4,1,15.0,1,2
3,17,27,1,1,21.0,5,1
8,8,31,1,1,22.0,1,1
9,53,36,1,1,23.0,0,1
3,18,8,1,5,14.0,0,1
3,17,37,1,5,19.0,0,1
4,20,38,1,1,21.0,0,1
1,44,23,1,1,22.0,8,1
2,42,23,1,3,16.0,0,1
9,6,25,4,1,14.0,1,2
4,27,20,1,5,21.0,5,1
7,48,23,1,3,19.0,0,1
5,51,14,1,5,16.0,1,1
4,27,40,1,1,24.0,0,1
3,26,0,1,5,0.0,0,1
2,42,0,1,5,0.0,0,1
5,12,23,1,5,21.0,3,1
9,53,34,4,1,20.0,0,2
9,6,37,1,5,18.0,0,1
8,4,18,1,1,21.0,9,1
5,12,34,4,1,16.0,1,2
2,42,37,1,2,16.0,0,1
3,17,30,1,1,20.0,0,1
8,4,0,1,5,0.0,0,1
7,48,26,1,1,13.0,0,1
5,12,33,1,1,21.0,0,1
5,13,16,1,5,21.0,2,1
5,51,35,1,1,16.0,1,1
5,51,32,1,1,18.0,0,1
6,1,39,1,3,20.0,0,1
5,12,21,1,1,18.0,3,1
6,1,30,1,1,16.0,3,1
7,48,17,1,1,21.0,1,1
9,6,2,1,5,1.0,0,1
2,42,33,1,2,21.0,0,1
3,17,6,1,5,8.0,0,1
1,25,10,1,5,19.0,0,1
5,12,14,1,5,16.0,2,1
6,21,31,1,3,11.0,0,1
6,21,18,1,1,21.0,6,1
9,6,23,5,5,9.0,1,2
3,17,29,4,1,20.0,2,2
4,27,21,1,1,20.0,0,1
8,4,35,1,1,19.0,0,1
3,39,33,1,1,19.0,0,1
7,48,35,1,1,18.0,0,1
3,55,8,1,5,12.0,0,1
5,24,10,1,5,19.0,1,1
3,17,36,1,3,22.0,0,1
5,13,24,1,3,20.0,3,1
9,6,10,1,5,19.0,0,1
3,55,20,1,1,16.0,0,1
2,36,30,1,3,21.0,5,1
7,48,31,1,1,15.0,4,1
7,48,11,1,5,19.0,0,1
9,6,14,5,5,16.0,3,2
1,9,31,1,1,22.0,5,1
6,21,12,5,1,21.0,5,2
7,48,8,1,5,16.0,0,1
9,6,20,1,1,21.0,1,1
9,53,6,1,5,10.0,0,1
3,39,31,1,3,21.0,7,1
9,6,29,1,1,20.0,0,1
2,36,4,1,5,6.0,0,1
5,12,27,4,1,21.0,1,2
7,48,23,1,1,20.0,3,1
1,25,27,1,1,21.0,15,1
2,36,13,1,5,21.0,0,1
7,48,19,1,5,20.0,2,1
3,17,25,1,5,16.0,0,1
5,37,26,1,1,21.0,6,1
6,21,19,1,1,21.0,6,1
2,34,32,2,1,20.0,0,1
7,48,21,1,5,21.0,8,1
9,6,38,1,1,19.0,0,1
3,18,14,1,5,20.0,1,1
9,41,37,1,1,19.0,0,1
9,6,17,1,5,17.0,0,1
0,72,23,2,1,19.0,0,1
5,37,47,1,1,21.0,0,1
9,6,31,5,1,21.0,2,2
2,36,14,1,1,21.0,13,1
5,12,24,1,1,19.0,6,1
9,53,26,1,1,22.0,7,1
9,6,32,1,1,19.0,0,1
8,32,40,4,3,18.0,0,2
2,42,17,1,1,16.0,3,1
7,48,2,1,5,2.0,0,1
6,47,13,1,5,19.0,1,1
2,42,26,1,5,21.0,6,1
5,13,30,1,1,22.0,0,1
2,42,11,1,5,20.0,2,1
6,47,9,1,5,18.0,1,1
5,51,18,5,1,21.0,7,2
9,6,9,1,5,19.0,0,1
9,6,18,1,1,21.0,0,1
8,4,18,1,1,22.0,16,1
8,49,7,1,5,12.0,0,1
1,25,9,4,5,16.0,0,2
5,45,38,1,2,16.0,0,1
4,46,36,1,1,21.0,1,1
9,6,21,1,1,16.0,0,1
7,5,3,1,5,1.0,0,1
3,39,34,1,5,21.0,0,1
6,1,12,1,5,19.0,1,1
3,39,27,1,1,22.0,7,1
5,37,16,1,5,12.0,1,1
9,6,23,5,5,16.0,5,2
4,29,30,1,2,14.0,0,1
4,31,34,1,1,24.0,5,1
7,48,11,1,5,18.0,1,1
2,42,35,1,1,16.0,0,1
9,53,38,1,1,21.0,0,1
4,31,0,1,5,0.0,0,1
2,42,43,1,2,16.0,0,1
9,6,7,1,5,11.0,0,1
0,72,29,2,5,16.0,0,1
9,6,2,1,5,1.0,0,1
0,72,29,2,5,6.0,1,1
3,17,4,1,5,5.0,0,1
7,48,24,4,1,21.0,3,2
3,17,39,4,1,11.0,0,2
8,35,10,1,5,19.0,1,1
7,40,6,1,5,9.0,0,1
4,27,17,1,5,19.0,0,1
7,22,4,1,5,4.0,0,1
5,24,34,1,1,24.0,3,1
2,42,31,1,1,21.0,2,1
9,53,42,1,1,24.0,0,1
3,39,33,1,1,17.0,0,1
5,13,15,1,5,19.0,0,1
4,29,48,1,2,16.0,0,1
4,20,2,1,5,2.0,0,1
8,35,32,1,1,16.0,0,1
2,36,30,1,3,21.0,2,1
4,20,37,1,1,21.0,0,1
2,36,31,1,1,13.0,0,1
9,53,20,1,5,20.0,4,1
5,10,13,1,5,19.0,1,1
5,12,13,1,1,16.0,0,1
8,4,7,1,5,11.0,0,1
5,12,17,1,5,16.0,0,1
7,48,28,1,1,16.0,0,1
9,6,32,1,5,12.0,0,1
5,51,17,1,1,18.0,2,1
5,12,38,1,1,21.0,0,1
5,13,6,1,5,9.0,0,1
7,48,19,1,5,22.0,2,1
4,27,4,1,5,7.0,0,1
6,28,17,1,5,1.0,0,1
1,25,48,1,1,16.0,0,1
1,25,28,4,1,16.0,0,2
3,18,12,1,5,19.0,2,1
4,29,26,1,1,16.0,0,1
2,36,13,1,1,22.0,0,1
5,51,25,1,1,21.0,0,1
3,39,6,1,5,1.0,0,1
5,51,26,1,1,22.0,0,1
7,48,13,1,1,16.0,2,1
5,12,5,1,5,8.0,0,1
5,51,5,1,5,7.0,0,1
6,1,37,1,2,21.0,0,1
2,36,29,1,4,18.0,0,1
5,10,47,4,2,7.0,0,2
9,6,14,1,5,21.0,5,1
2,36,27,1,1,21.0,1,1
3,26,40,1,3,23.0,0,1
2,36,11,5,5,16.0,0,2
8,16,14,1,5,18.0,0,1
0,72,20,2,5,24.0,0,1
5,51,41,1,4,16.0,0,1
7,5,25,1,1,16.0,4,1
7,48,30,1,1,21.0,0,1
5,45,23,1,1,16.0,0,1
7,48,7,1,5,11.0,0,1
3,26,6,5,5,9.0,0,2
7,48,8,1,5,14.0,0,1
3,39,12,1,1,16.0,4,1
5,13,31,1,3,20.0,0,1
9,6,21,5,1,20.0,0,2
1,25,35,1,3,19.0,2,1
2,34,38,1,1,19.0,0,1
5,51,28,1,1,16.0,0,1
2,36,15,1,5,22.0,0,1
7,48,19,5,4,9.0,0,2
4,31,2,1,5,1.0,0,1
8,4,31,1,3,21.0,16,1
7,48,15,1,5,15.0,0,1
1,50,34,1,2,16.0,0,1
3,18,17,1,5,21.0,5,1
2,42,19,1,5,20.0,2,1
2,36,39,1,5,18.0,0,1
3,17,4,1,5,6.0,0,1
5,12,46,1,3,17.0,0,1
2,34,25,5,3,15.0,1,2
9,6,23,4,1,21.0,9,2
3,55,37,1,2,15.0,0,1
2,42,30,1,1,16.0,4,1
2,42,30,5,1,21.0,0,2
5,54,8,1,5,14.0,0,1
7,48,18,4,1,21.0,0,2
5,13,15,1,5,21.0,3,1
5,51,30,1,1,19.0,0,1
9,6,15,1,5,22.0,0,1
5,12,37,1,1,21.0,0,1
8,4,11,1,5,16.0,0,1
7,48,24,1,5,16.0,1,1
3,39,27,1,1,20.0,3,1
7,48,24,1,1,21.0,5,1
6,47,22,1,1,19.0,1,1
9,6,20,1,5,19.0,5,1
9,6,37,4,1,19.0,0,2
0,72,2,2,5,1.0,0,1
5,37,32,1,5,14.0,0,1
5,12,31,4,1,23.0,2,2
6,47,15,1,5,16.0,2,1
6,28,10,1,5,16.0,1,1
3,39,32,1,1,16.0,0,1
5,13,20,1,5,17.0,0,1
3,39,14,1,4,16.0,0,1
3,26,11,1,5,19.0,1,1
7,48,17,1,1,21.0,35,1
5,37,25,1,1,19.0,5,1
7,48,1,1,5,2.0,0,1
9,6,32,1,1,21.0,0,1
3,39,13,1,5,14.0,0,1
3,39,30,4,1,21.0,0,2
5,12,9,1,5,16.0,0,1
1,25,5,1,5,8.0,0,1
1,25,27,4,1,20.0,0,2
2,36,36,1,1,21.0,0,1
1,25,38,2,2,10.0,0,1
1,23,24,1,1,21.0,6,1
5,12,6,1,5,10.0,0,1
4,19,9,1,5,18.0,0,1
4,19,36,1,1,18.0,0,1
3,17,40,1,1,16.0,0,1
8,32,0,5,5,0.0,0,2
7,48,10,1,5,20.0,0,1
5,12,32,5,1,16.0,0,2
9,6,11,1,5,21.0,0,1
9,6,24,1,1,18.0,0,1
6,47,22,1,5,21.0,3,1
5,51,9,1,5,16.0,0,1
5,12,18,1,1,21.0,2,1
4,46,24,1,5,16.0,0,1
8,4,3,1,5,4.0,0,1
8,32,27,1,1,16.0,6,1
3,55,22,5,1,21.0,7,2
5,45,37,1,3,16.0,0,1
7,5,25,1,5,20.0,0,1
9,6,11,3,5,1.0,0,1
5,13,27,1,2,22.0,0,1
3,18,6,1,5,9.0,0,1
2,36,28,1,1,21.0,3,1
4,31,6,1,5,8.0,0,1
9,6,21,1,5,16.0,0,1
9,6,33,1,1,21.0,0,1
7,5,41,1,1,16.0,0,1
5,37,32,1,1,21.0,6,1
9,53,6,1,5,9.0,0,1
3,39,25,1,1,22.0,13,1
7,5,19,1,4,16.0,4,1
4,31,9,1,5,19.0,0,1
9,6,12,1,5,16.0,2,1
7,48,8,1,5,14.0,0,1
5,37,44,1,2,16.0,0,1
8,8,19,1,1,17.0,9,1
4,19,3,1,5,3.0,0,1
1,25,17,5,1,13.0,3,2
5,12,29,1,1,15.0,1,1
9,6,6,1,5,10.0,0,1
5,24,11,1,5,21.0,0,1
1,9,41,1,2,16.0,0,1
5,51,17,1,1,21.0,3,1
5,51,21,1,1,21.0,11,1
5,37,4,1,5,6.0,0,1
9,53,36,1,1,20.0,0,1
5,13,34,1,1,17.0,0,1
9,6,34,4,5,19.0,0,2
0,72,37,2,1,22.0,0,1
3,39,19,1,1,21.0,0,1
7,48,23,1,2,19.0,3,1
3,26,21,1,3,18.0,0,1
8,35,8,1,5,14.0,0,1
5,12,24,1,5,19.0,2,1
2,34,21,1,1,21.0,3,1
6,21,0,1,5,0.0,0,1
8,16,2,1,5,1.0,0,1
5,12,15,1,1,17.0,3,1
9,6,38,1,1,19.0,0,1
7,40,29,4,3,21.0,0,2
8,16,39,1,1,18.0,0,1
9,6,27,5,1,9.0,0,2
5,13,17,1,1,21.0,2,1
9,6,0,1,5,0.0,0,1
3,39,13,1,5,21.0,4,1
3,55,8,1,5,13.0,0,1
6,28,35,1,1,18.0,0,1
5,13,12,1,5,19.0,3,1
5,24,19,1,1,22.0,1,1
3,17,32,1,1,17.0,1,1
5,24,8,5,5,14.0,0,2
7,48,30,5,4,1.0,0,2
3,39,2,1,5,2.0,0,1
4,29,48,1,2,16.0,0,1
9,6,4,1,5,6.0,0,1
7,5,2,1,5,1.0,0,1
3,39,24,1,2,17.0,0,1
2,42,24,1,1,16.0,2,1
9,6,19,4,5,16.0,3,2
2,36,34,5,1,15.0,0,2
3,18,5,1,5,7.0,0,1
7,48,13,1,5,21.0,3,1
9,6,16,1,5,22.0,0,1
4,31,21,1,1,16.0,33,1
5,12,38,1,1,19.0,0,1
6,21,20,1,1,16.0,1,1
1,44,39,1,1,20.0,0,1
5,37,15,3,5,22.0,4,1
3,17,28,1,1,21.0,4,1
7,48,9,1,5,16.0,0,1
7,48,35,4,1,8.0,0,2
7,48,9,1,5,19.0,0,1
9,6,19,5,5,16.0,0,2
9,41,14,1,5,18.0,0,1
6,47,16,1,1,18.0,1,1
8,16,34,1,1,16.0,4,1
9,6,1,1,5,1.0,0,1
5,12,4,1,5,7.0,0,1
9,6,33,4,3,19.0,1,2
7,40,19,1,1,21.0,2,1
3,26,4,1,5,6.0,0,1
5,13,26,4,1,21.0,7,2
3,39,16,1,1,19.0,4,1
3,18,13,1,1,21.0,0,1
7,48,15,1,1,19.0,1,1
1,25,34,1,1,21.0,6,1
3,17,10,1,5,16.0,1,1
7,40,32,1,1,21.0,0,1
2,42,39,5,1,16.0,0,2
6,21,9,1,5,15.0,0,1
8,4,45,1,2,16.0,0,1
7,48,25,4,1,9.0,0,2
5,12,37,4,3,16.0,0,2
1,50,4,1,5,5.0,0,1
5,51,20,1,3,20.0,0,1
0,72,33,2,2,20.0,0,1
2,36,34,1,1,20.0,2,1
6,47,25,1,3,17.0,0,1
9,53,20,1,1,16.0,5,1
4,27,18,1,5,12.0,0,1
7,48,29,1,1,19.0,0,1
3,55,33,3,1,21.0,0,1
2,36,42,1,5,16.0,0,1
6,47,19,1,1,17.0,0,1
9,6,7,1,5,12.0,0,1
7,48,26,1,1,21.0,2,1
9,6,5,1,5,6.0,0,1
5,51,27,1,1,21.0,1,1
5,37,35,1,1,16.0,0,1
8,49,5,1,5,8.0,0,1
3,17,8,1,5,14.0,0,1
2,36,9,1,5,14.0,0,1
3,17,40,1,2,17.0,0,1
9,53,9,1,5,16.0,0,1
9,6,5,1,5,6.0,0,1
2,34,27,1,3,16.0,1,1
9,6,27,1,1,22.0,8,1
8,4,27,1,5,16.0,0,1
2,34,19,1,1,21.0,46,1
5,37,31,1,1,16.0,3,1
3,17,20,1,1,22.0,7,1
5,51,33,1,1,21.0,0,1
4,19,8,1,5,11.0,0,1
2,42,13,1,1,16.0,0,1
3,17,0,1,5,0.0,0,1
7,48,9,1,5,18.0,0,1
2,34,11,1,5,21.0,0,1
7,48,43,1,1,20.0,0,1
2,42,32,1,1,18.0,3,1
3,39,18,1,1,22.0,3,1
3,17,7,1,5,13.0,0,1
2,36,22,4,1,21.0,3,2
6,28,13,1,5,16.0,0,1
9,6,6,1,5,9.0,0,1
9,53,19,1,5,21.0,2,1
2,36,11,1,5,21.0,2,1
3,18,19,1,3,16.0,2,1
9,6,12,1,5,16.0,1,1
7,40,25,1,1,16.0,3,1
5,45,4,1,5,5.0,0,1
3,26,17,1,5,20.0,1,1
5,51,4,1,5,4.0,0,1
7,48,24,1,5,21.0,0,1
2,34,5,1,5,7.0,0,1
5,37,5,1,5,6.0,0,1
3,26,26,1,1,19.0,1,1
6,1,6,1,5,9.0,0,1
3,17,48,1,2,16.0,0,1
3,39,3,1,5,4.0,0,1
9,6,38,4,1,1.0,0,2
5,45,1,1,5,0.0,0,1
5,12,33,1,2,16.0,0,1
1,9,13,1,5,16.0,5,1
7,48,15,1,1,16.0,2,1
7,40,16,4,1,21.0,3,2
7,48,31,1,1,16.0,3,1
2,42,0,1,5,0.0,0,1
1,25,9,1,5,16.0,1,1
4,19,19,1,1,16.0,0,1
6,21,3,1,5,4.0,0,1
5,51,37,1,1,22.0,0,1
7,48,41,1,1,18.0,0,1
9,6,44,1,2,21.0,0,1
3,17,7,1,5,11.0,0,1
1,23,3,1,5,4.0,0,1
9,53,35,1,3,19.0,0,1
6,47,7,3,5,11.0,0,1
1,9,23,4,1,22.0,4,2
9,6,26,1,1,16.0,4,1
3,26,27,1,1,19.0,5,1
7,5,2,1,5,2.0,0,1
9,6,31,4,3,21.0,0,2
2,36,26,1,1,21.0,2,1
9,6,25,5,1,16.0,0,2
6,47,40,1,5,18.0,0,1
5,12,25,1,1,24.0,3,1
8,4,29,1,3,21.0,4,1
8,49,1,1,5,1.0,0,1
9,6,30,4,3,21.0,17,2
3,26,2,1,5,1.0,0,1
3,39,1,1,5,1.0,0,1
3,26,35,1,5,16.0,0,1
7,48,34,4,2,6.0,2,2
2,34,35,1,1,21.0,21,1
5,51,34,1,1,19.0,0,1
6,28,33,1,5,16.0,0,1
2,36,25,1,5,11.0,0,1
2,34,19,1,1,22.0,1,1
5,37,13,1,5,19.0,1,1
9,6,31,4,1,17.0,15,2
6,1,26,1,1,18.0,8,1
7,48,10,1,5,16.0,1,1
5,12,35,1,1,23.0,0,1
9,41,0,1,5,0.0,0,1
7,48,4,1,5,6.0,0,1
9,6,6,1,5,9.0,0,1
7,48,36,1,1,21.0,0,1
4,31,7,1,5,11.0,0,1
3,26,1,1,5,0.0,0,1
9,6,28,5,1,18.0,0,2
3,18,29,1,1,16.0,5,1
2,36,2,1,5,2.0,0,1
9,6,31,4,1,19.0,0,2
4,29,2,1,5,2.0,0,1
3,26,19,1,1,24.0,0,1
5,13,29,4,1,16.0,3,2
2,42,31,1,1,21.0,0,1
4,31,20,1,5,16.0,0,1
3,39,20,1,3,19.0,2,1
9,6,20,1,4,22.0,3,1
6,47,14,1,5,21.0,2,1
9,6,48,1,2,22.0,0,1
