Gender,State,MaritalStatus,HasChild,Salary,Rate,SingleExemp,MarriedExemp,ChildExemp
F,ND,M,N,15,11.0,0,6600,0
M,NC,S,N,28,37.0,3300,0,0
F,NE,S,N,46,36.0,103,0,0
F,WV,S,N,48,34.0,2000,0,0
F,DE,S,Y,47,31.0,110,0,110
M,SC,S,Y,49,37.0,3300,0,3300
M,NM,M,N,10,28.0,0,6600,0
F,VT,S,Y,16,19.0,3300,0,3300
M,ME,S,N,43,45.0,2850,0,0
M,UT,S,N,46,37.0,2475,0,0
F,PR,M,Y,18,0.0,0,0,0
F,NM,S,N,47,28.0,3300,0,0
F,NC,S,N,22,35.0,3300,0,0
M,NH,M,N,35,0.0,0,0,0
F,AZ,M,Y,27,19.0,0,4200,2300
M,CA,M,N,31,49.0,0,174,0
F,OK,M,Y,12,33.0,0,2000,1000
M,FL,S,Y,4,0.0,0,0,0
M,MN,M,Y,42,42.0,0,6600,3300
M,OR,M,N,7,48.0,0,318,0
F,ND,S,N,23,12.0,3300,0,0
M,IN,M,Y,11,18.0,0,2000,1000
F,LA,M,N,22,32.0,0,9000,0
F,VA,M,N,49,30.0,0,1800,0
F,AL,M,N,10,26.0,0,3000,0
F,MI,M,Y,35,20.0,0,6200,3100
F,HI,S,Y,47,44.0,1040,0,1040
M,AL,M,Y,46,26.0,0,3000,300
M,TN,M,Y,0,0.0,0,0,0
M,MA,S,Y,30,28.0,3575,0,1000
F,ID,M,Y,36,41.0,0,6600,3300
F,HI,S,Y,23,44.0,1040,0,1040
M,SC,S,Y,43,37.0,3300,0,3300
M,OH,M,N,44,18.0,0,2600,0
F,GA,S,N,7,32.0,2700,0,0
M,VT,M,Y,26,21.0,0,6600,3300
F,TN,S,N,30,0.0,0,0,0
M,AZ,M,N,12,16.0,0,4200,0
M,UT,S,N,21,37.0,2475,0,0
F,MS,M,N,43,26.0,0,12000,0
M,ND,S,N,48,15.0,3300,0,0
M,OK,M,Y,10,33.0,0,2000,1000
F,AR,S,N,0,5.0,20,0,0
M,ID,S,Y,37,41.0,3300,0,3300
F,IL,M,N,4,16.0,0,4000,0
F,MN,S,Y,8,28.0,3300,0,3300
M,WA,S,Y,31,0.0,0,0,0
F,IL,M,Y,15,16.0,0,4000,2000
F,NY,S,N,5,21.0,0,0,0
M,KY,S,N,32,29.0,20,0,0
M,IN,S,Y,31,18.0,1000,0,1000
M,UT,S,Y,45,37.0,2475,0,2475
